date,open,high,low,close,volume,symbol
2002-05-22,54.5,54.9,54.5,54.89,83600,AAA
2002-05-23,54.9,55.1,54.9,54.9,14900,AAA
2002-05-24,53.69,54.0,53.69,53.81,19100,AAA
2002-05-28,52.8,52.8,52.1,52.25,5700,AAA
2002-05-29,53.0,54.4,53.0,54.2,8600,AAA
2002-05-30,54.23,54.23,53.78,53.95,8200,AAA
2002-05-31,53.37,54.2,53.15,54.05,9600,AAA
2002-06-03,53.1,53.1,53.1,53.1,1000,AAA
2002-06-04,50.9,50.9,50.3,50.5,2400,AAA
2002-06-05,51.4,51.79,51.4,51.5,2900,AAA
2002-06-06,51.0,51.27,51.0,51.15,1900,AAA
2002-06-07,48.9,50.1,48.5,49.97,8300,AAA
2002-06-10,48.73,48.85,48.59,48.69,10700,AAA
2002-06-11,50.53,50.85,50.53,50.85,3200,AAA
2002-06-12,48.85,48.85,48.5,48.5,300,AAA
2002-06-13,48.27,48.27,46.0,46.0,9100,AAA
2002-06-14,45.01,46.03,44.8,46.03,6500,AAA
2002-06-17,49.14,49.5,48.6,49.35,8600,AAA
2002-06-18,48.54,48.54,48.09,48.09,1500,AAA
2002-06-20,48.62,48.62,48.2,48.2,600,AAA
2002-06-25,47.75,47.75,47.75,47.75,100,AAA
2002-06-26,48.2,48.9,48.2,48.2,4300,AAA
2002-06-27,49.56,49.56,49.0,49.0,1800,AAA
2002-06-28,50.9,52.06,50.34,52.06,4600,AAA
2002-07-08,52.99,52.99,52.99,52.99,100,AAA
2002-07-09,52.6,53.0,52.6,53.0,3000,AAA
2002-07-10,50.8,50.8,50.4,50.4,1100,AAA
2002-07-11,48.76,49.0,48.01,48.01,4100,AAA
2002-07-12,49.6,49.6,48.77,49.27,4400,AAA
2002-07-15,48.9,49.5,48.82,49.2,5500,AAA
2002-07-16,48.9,48.9,48.9,48.9,200,AAA
2002-07-17,50.7,51.25,50.0,50.1,13800,AAA
2002-07-18,49.98,49.98,48.8,49.0,8000,AAA
2002-07-19,47.25,47.25,46.6,47.2,4000,AAA
2002-07-22,46.0,46.0,46.0,46.0,300,AAA
2002-07-23,45.5,45.5,45.5,45.5,100,AAA
2002-07-25,48.3,48.3,46.75,46.75,2400,AAA
2002-07-26,47.5,47.5,47.5,47.5,100,AAA
2002-07-29,50.25,50.5,50.25,50.5,2200,AAA
2002-07-30,49.0,49.35,49.0,49.35,300,AAA
2002-07-31,49.85,49.85,49.7,49.7,1100,AAA
2002-08-01,48.89,48.89,48.61,48.61,1500,AAA
2002-08-02,48.96,48.96,48.96,48.96,100,AAA
2002-08-05,48.71,48.85,48.71,48.85,1000,AAA
2002-08-06,48.9,48.9,48.9,48.9,8300,AAA
2002-08-08,53.25,54.15,53.25,53.46,4300,AAA
2002-08-13,52.7,52.7,52.7,52.7,400,AAA
2002-08-14,51.81,51.81,49.82,50.25,3800,AAA
2002-08-15,51.7,51.7,51.7,51.7,500,AAA
2002-08-16,52.25,52.7,52.25,52.7,300,AAA
2002-08-21,51.2,51.6,51.2,51.6,400,AAA
2002-08-22,51.48,51.48,51.48,51.48,100,AAA
2002-08-26,50.9,51.0,50.9,51.0,400,AAA
2002-08-27,51.0,51.0,51.0,51.0,100,AAA
2002-08-29,49.75,49.75,49.75,49.75,500,AAA
2002-08-30,49.0,49.25,49.0,49.25,600,AAA
2002-09-03,46.6,46.7,46.5,46.7,10400,AAA
2002-09-04,45.4,45.4,45.0,45.25,3900,AAA
2002-09-05,37.97,41.6,37.61,41.35,28400,AAA
2002-09-06,42.7,43.71,42.7,43.11,5700,AAA
2002-09-09,43.12,43.45,43.12,43.4,1700,AAA
2002-09-10,41.71,42.0,41.3,42.0,3400,AAA
2002-09-11,42.8,42.8,42.8,42.8,30500,AAA
2002-09-12,41.88,41.88,41.0,41.2,2100,AAA
2002-09-13,40.85,40.85,40.85,40.85,200,AAA
2002-09-16,39.33,40.5,38.3,40.5,6900,AAA
2002-09-17,39.61,39.61,39.61,39.61,2600,AAA
2002-09-18,39.69,40.77,39.69,40.71,8700,AAA
2002-09-19,40.86,41.25,40.86,41.25,700,AAA
2002-09-20,40.9,41.29,40.65,40.65,1700,AAA
2002-09-23,38.16,38.65,37.85,38.24,5000,AAA
2002-09-24,37.5,37.8,37.3,37.8,2800,AAA
2002-09-25,39.17,39.17,38.02,38.5,14600,AAA
2002-09-26,39.67,39.67,39.25,39.5,1300,AAA
2002-09-27,39.0,39.0,38.23,38.31,10600,AAA
2002-09-30,36.75,37.35,35.97,37.2,9700,AAA
2002-10-01,37.2,37.41,36.85,37.41,3800,AAA
2002-10-02,37.7,39.0,37.7,38.95,1500,AAA
2002-10-03,40.7,40.7,39.3,39.3,3600,AAA
2002-10-04,37.8,37.8,37.01,37.09,1600,AAA
2002-10-07,37.3,37.8,37.3,37.77,4500,AAA
2002-10-08,37.97,37.97,37.6,37.6,2700,AAA
2002-10-09,38.0,38.1,37.8,38.1,900,AAA
2002-10-10,38.1,38.3,37.8,38.3,3100,AAA
2002-10-11,37.8,37.8,37.4,37.73,800,AAA
2002-10-14,42.5,43.99,42.5,43.95,17200,AAA
2002-10-15,45.7,46.75,45.7,46.1,18600,AAA
2002-10-16,46.5,46.83,45.55,45.55,6400,AAA
2002-10-17,46.09,46.25,45.9,46.0,1100,AAA
2002-10-18,46.25,46.65,46.25,46.65,400,AAA
2002-10-21,46.51,46.51,45.46,46.25,1700,AAA
2002-10-22,47.2,47.75,47.0,47.0,5700,AAA
2002-10-23,45.5,45.68,44.35,45.68,10600,AAA
2002-10-24,46.3,46.3,46.3,46.3,400,AAA
2002-10-25,47.2,47.49,47.2,47.49,300,AAA
2002-10-28,46.81,47.79,46.81,47.45,2800,AAA
2002-10-29,48.6,48.6,47.36,47.36,5200,AAA
2002-10-30,47.81,48.35,47.73,47.93,2400,AAA
2002-10-31,47.9,48.2,47.74,48.05,2400,AAA
2002-11-01,46.5,46.7,46.5,46.7,5900,AAA
2002-11-04,48.6,50.25,48.6,49.3,19900,AAA
2002-11-05,49.76,50.0,49.73,50.0,5000,AAA
2002-11-06,50.25,50.5,49.9,50.1,2600,AAA
2002-11-07,50.05,50.05,49.3,49.3,7100,AAA
2002-11-08,50.25,51.13,49.5,49.5,60000,AAA
2002-11-11,48.5,49.5,48.5,49.5,3100,AAA
2002-11-12,49.25,49.25,49.25,49.25,500,AAA
2002-11-13,47.55,48.25,47.55,48.0,1500,AAA
2002-11-14,48.54,49.65,48.54,48.63,4000,AAA
2002-11-15,47.37,48.25,47.37,48.25,2600,AAA
2002-11-18,47.3,47.3,46.5,46.5,1400,AAA
2002-11-19,47.7,47.71,47.7,47.7,700,AAA
2002-11-20,46.9,46.99,46.5,46.99,8000,AAA
2002-11-21,47.6,47.6,47.3,47.3,600,AAA
2002-11-22,45.4,46.0,45.4,46.0,700,AAA
2002-11-26,45.25,45.3,44.75,45.0,1100,AAA
2002-11-27,45.51,46.74,45.25,46.51,4700,AAA
2002-11-29,44.6,45.13,44.6,45.13,2300,AAA
2002-12-02,44.65,45.85,44.65,45.85,4000,AAA
2002-12-03,44.0,44.49,44.0,44.49,1500,AAA
2002-12-04,46.2,46.31,46.2,46.31,2100,AAA
2002-12-05,46.55,46.55,46.55,46.55,1600,AAA
2002-12-06,45.75,45.75,45.28,45.28,1800,AAA
2002-12-09,46.65,46.65,45.65,45.65,1800,AAA
