model,seed,test_balanced_accuracy,test_rmse
MLP Classifier,42,0.5136809200370485,
LSTM Classifier,42,0.4938895749716991,
Transformer Classifier,42,0.5139124729854894,
MLP Regressor,42,,0.015382299753138208
LSTM Regressor,42,,0.015346159185047824
Transformer Regressor,42,,0.015385439735691564
MLP Classifier,123,0.5191674385098282,
LSTM Classifier,123,0.5076669754039312,
Transformer Classifier,123,0.5045024184419059,
MLP Regressor,123,,0.01536894707855411
LSTM Regressor,123,,0.015452694037824106
Transformer Regressor,123,,0.015461999071492632
MLP Classifier,7,0.5036083667798703,
LSTM Classifier,7,0.5191352783781003,
Transformer Classifier,7,0.5033510857260471,
MLP Regressor,7,,0.01599603863998906
LSTM Regressor,7,,0.015317719151528629
Transformer Regressor,7,,0.015557614601755936
MLP Classifier,2024,0.4903776885870124,
LSTM Classifier,2024,0.5176301842132345,
Transformer Classifier,2024,0.5094357826489657,
MLP Regressor,2024,,0.015350910104200546
LSTM Regressor,2024,,0.015391183597332308
Transformer Regressor,2024,,0.015782680095540767
MLP Classifier,99,0.5078277760625708,
LSTM Classifier,99,0.5113332304209117,
Transformer Classifier,99,0.507120253164557,
MLP Regressor,99,,0.015342769783933256
LSTM Regressor,99,,0.01535574815923382
Transformer Regressor,99,,0.015240846097834477
